"OrderDate","Category","City","Country","CustomerName","Discount","OrderID","PostalCode","ProductName","Profit","Quantity","Region","Sales","Segment","ShipDate","ShipMode","State","Sub_Category","DaystoShipActual","SalesForecast","ShipStatus","DaystoShipScheduled","OrderProfitable","SalesperCustomer","ProfitRatio","SalesaboveTarget","latitude","longitude"
"2013-06-13T00:00:00.000Z","Office Supplies","Decatur","United States","Stewart Carmichael","0.0","CA-2013-127208","35601","Avery Heavy-Duty EZD  Binder With Locking Rings","8","3","South","17","Corporate","2013-06-16T00:00:00.000Z","First Class","Alabama","Binders","3","22","Shipped Late","1","null","16.74","48.0","null","34.5896","-86.9887"
"2013-06-13T00:00:00.000Z","Office Supplies","Houston","United States","Arthur Wiediger","0.8","CA-2013-120824","77070","APC 7 Outlet Network SurgeArrest Surge Protector","-161","4","Central","64","Home Office","2013-06-17T00:00:00.000Z","Second Class","Texas","Appliances","4","84","Shipped Late","3","null","64.38","-250.0","null","29.9781","-95.5803"
"2013-06-13T00:00:00.000Z","Office Supplies","Houston","United States","Arthur Wiediger","0.8","CA-2013-120824","77070","Acco Pressboard Covers with Storage Hooks, 14 7/8 x 11, Executive Red","-3","2","Central","2","Home Office","2013-06-17T00:00:00.000Z","Second Class","Texas","Binders","4","2","Shipped Late","3","null","1.52","-175.0","null","29.9781","-95.5803"
"2013-06-13T00:00:00.000Z","Office Supplies","Houston","United States","Arthur Wiediger","0.2","CA-2013-120824","77070","Nontoxic Chalk","4","8","Central","11","Home Office","2013-06-17T00:00:00.000Z","Second Class","Texas","Art","4","15","Shipped Late","3","null","11.26","35.0","null","29.9781","-95.5803"
"2013-06-13T00:00:00.000Z","Office Supplies","Houston","United States","Arthur Wiediger","0.2","CA-2013-120824","77070","Staples","7","9","Central","68","Home Office","2013-06-17T00:00:00.000Z","Second Class","Texas","Storage","4","88","Shipped Late","3","null","67.54","10.0","null","29.9781","-95.5803"
"2013-06-13T00:00:00.000Z","Office Supplies","Houston","United States","Arthur Wiediger","0.2","CA-2013-120824","77070","Xerox 1975","6","3","Central","16","Home Office","2013-06-17T00:00:00.000Z","Second Class","Texas","Paper","4","20","Shipped Late","3","null","15.55","36.3","null","29.9781","-95.5803"
"2013-06-13T00:00:00.000Z","Office Supplies","Long Beach","United States","Christy Brittain","0.0","CA-2013-139941","11561","Bionaire 99.97% HEPA Air Cleaner","18","3","East","53","Consumer","2013-06-18T00:00:00.000Z","Standard Class","New York","Appliances","5","69","Shipped Early","6","null","52.56","35.0","null","40.5877","-73.6595"
"2013-06-13T00:00:00.000Z","Office Supplies","Long Beach","United States","Christy Brittain","0.0","CA-2013-139941","11561","IBM Multi-Purpose Copy Paper, 8 1/2 x 11, Case","42","3","East","93","Consumer","2013-06-18T00:00:00.000Z","Standard Class","New York","Paper","5","122","Shipped Early","6","null","92.94","45.0","null","40.5877","-73.6595"
"2013-06-13T00:00:00.000Z","Office Supplies","Los Angeles","United States","Darrin Van Huff","0.0","CA-2013-138688","90036","Self-Adhesive Address Labels for Typewriters by Universal","7","2","West","15","Corporate","2013-06-17T00:00:00.000Z","Second Class","California","Labels","4","19","Shipped Late","3","null","14.62","47.0","null","34.0699","-118.3492"
"2013-06-13T00:00:00.000Z","Office Supplies","Pasadena","United States","Erin Ashbrook","0.0","CA-2013-104633","91104","IBM Multi-Purpose Copy Paper, 8 1/2 x 11, Case","84","6","West","186","Corporate","2013-06-17T00:00:00.000Z","Standard Class","California","Paper","4","244","Shipped Early","6","null","185.88","45.0","null","34.1678","-118.1261"
"2013-06-13T00:00:00.000Z","Office Supplies","Pasadena","United States","Erin Ashbrook","0.0","CA-2013-104633","91104","Xerox 228","6","2","West","13","Corporate","2013-06-17T00:00:00.000Z","Standard Class","California","Paper","4","17","Shipped Early","6","null","12.96","48.0","null","34.1678","-118.1261"
"2013-06-13T00:00:00.000Z","Office Supplies","Wilmington","United States","Steven Cartwright","0.0","CA-2013-103730","19805","Companion Letter/Legal File, Black","63","6","East","227","Consumer","2013-06-16T00:00:00.000Z","First Class","Delaware","Storage","3","297","Shipped Late","1","null","226.56","28.0","null","39.7434","-75.5827"
"2013-06-13T00:00:00.000Z","Office Supplies","Wilmington","United States","Steven Cartwright","0.0","CA-2013-103730","19805","DXL Angle-View Binders with Locking Rings by Samsill","14","4","East","31","Consumer","2013-06-16T00:00:00.000Z","First Class","Delaware","Binders","3","40","Shipped Late","1","null","30.84","45.0","null","39.7434","-75.5827"
"2013-06-13T00:00:00.000Z","Office Supplies","Wilmington","United States","Steven Cartwright","0.0","CA-2013-103730","19805","Globe Weis Peel & Seel First Class Envelopes","52","9","East","115","Consumer","2013-06-16T00:00:00.000Z","First Class","Delaware","Envelopes","3","151","Shipped Late","1","null","115.02","45.0","null","39.7434","-75.5827"
"2013-06-13T00:00:00.000Z","Technology","Chicago","United States","Philisse Overcash","0.3","CA-2013-147375","60623","Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner","43","3","Central","1008","Home Office","2013-06-15T00:00:00.000Z","Second Class","Illinois","Machines","2","1321","Shipped Early","3","null","1007.98","4.3","null","41.849","-87.7157"
"2013-06-13T00:00:00.000Z","Technology","Wilmington","United States","Steven Cartwright","0.0","CA-2013-103730","19805","KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7","20","7","East","68","Consumer","2013-06-16T00:00:00.000Z","First Class","Delaware","Phones","3","89","Shipped Late","1","null","68.04","29.0","null","39.7434","-75.5827"
"2013-06-14T00:00:00.000Z","Office Supplies","New York City","United States","Greg Tran","0.2","CA-2013-126795","10024","Premium Transparent Presentation Covers by GBC","12","2","East","34","Consumer","2013-06-17T00:00:00.000Z","Second Class","New York","Binders","3","44","Shipped On Time","3","null","33.57","35.0","null","40.7864","-73.9764"
"2013-06-14T00:00:00.000Z","Office Supplies","Wichita","United States","Sonia Sunley","0.0","CA-2013-136287","67212","Avery 51","9","3","Central","19","Consumer","2013-06-18T00:00:00.000Z","Standard Class","Kansas","Labels","4","25","Shipped Early","6","null","18.9","46.0","null","37.7007","-97.4383"
"2013-06-14T00:00:00.000Z","Technology","Jackson","United States","Sample Company A","0.0","CA-2013-155005","49201","Ooma Telo VoIP Home Phone System","94","3","Central","378","Home Office","2013-06-16T00:00:00.000Z","Second Class","Michigan","Phones","2","495","Shipped Early","3","null","377.97","25.0","null","42.2545","-84.3875"
"2013-06-15T00:00:00.000Z","Furniture","Anaheim","United States","Ed Braxton","0.2","CA-2013-128223","92804","Bush Cubix Conference Tables, Fully Assembled","81","7","West","1293","Corporate","2013-06-15T00:00:00.000Z","Same Day","California","Tables","0","1695","Shipped On Time","0","null","1293.49","6.3","null","33.8186","-117.9729"
"2013-06-15T00:00:00.000Z","Furniture","Los Angeles","United States","Marc Harrigan","0.15","US-2013-108497","90036","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","35","5","West","599","Home Office","2013-06-15T00:00:00.000Z","Same Day","California","Bookcases","0","785","Shipped On Time","0","null","599.16","5.9","null","34.0699","-118.3492"
"2013-06-15T00:00:00.000Z","Furniture","Philadelphia","United States","Jim Sink","0.4","CA-2013-155747","19140","Global Adaptabilities Conference Tables","-118","2","East","337","Corporate","2013-06-22T00:00:00.000Z","Standard Class","Pennsylvania","Tables","7","442","Shipped Late","6","null","337.18","-35.0","null","40.0118","-75.1456"
"2013-06-15T00:00:00.000Z","Furniture","San Francisco","United States","Paul Van Hugh","0.0","CA-2013-107216","94122","GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs","4","3","West","9","Home Office","2013-06-18T00:00:00.000Z","First Class","California","Furnishings","3","11","Shipped Late","1","null","8.73","47.0","null","37.7593","-122.4836"
"2013-06-15T00:00:00.000Z","Furniture","Seattle","United States","Anthony Rawles","0.0","CA-2013-132304","98103","Hon Non-Folding Utility Tables","335","7","West","1115","Corporate","2013-06-19T00:00:00.000Z","Standard Class","Washington","Tables","4","1461","Shipped Early","6","null","1115.17","30.0","null","47.6733","-122.3426"
"2013-06-15T00:00:00.000Z","Office Supplies","Boca Raton","United States","Vivian Mathis","0.7","CA-2013-133872","33433","GBC Twin Loop Wire Binding Elements","-27","4","South","40","Consumer","2013-06-18T00:00:00.000Z","First Class","Florida","Binders","3","52","Shipped Late","1","null","39.94","-66.7","null","26.3464","-80.1564"
"2013-06-15T00:00:00.000Z","Office Supplies","San Francisco","United States","Paul Van Hugh","0.0","CA-2013-107216","94122","Newell 326","2","4","West","7","Home Office","2013-06-18T00:00:00.000Z","First Class","California","Art","3","9","Shipped Late","1","null","7.04","29.0","null","37.7593","-122.4836"
"2013-06-15T00:00:00.000Z","Office Supplies","San Francisco","United States","Paul Van Hugh","0.0","CA-2013-107216","94122","Newell 346","3","3","West","9","Home Office","2013-06-18T00:00:00.000Z","First Class","California","Art","3","11","Shipped Late","1","null","8.64","29.0","null","37.7593","-122.4836"
"2013-06-15T00:00:00.000Z","Technology","Boca Raton","United States","Vivian Mathis","0.2","CA-2013-133872","33433","Verbatim Slim CD and DVD Storage Cases, 50/Pack","2","2","South","18","Consumer","2013-06-18T00:00:00.000Z","First Class","Florida","Accessories","3","24","Shipped Late","1","null","18.46","12.5","null","26.3464","-80.1564"
"2013-06-15T00:00:00.000Z","Technology","San Francisco","United States","Paul Van Hugh","0.0","CA-2013-107216","94122","Logitech ClearChat Comfort/USB Headset H390","10","1","West","29","Home Office","2013-06-18T00:00:00.000Z","First Class","California","Accessories","3","38","Shipped Late","1","null","29.29","33.0","null","37.7593","-122.4836"
"2013-06-16T00:00:00.000Z","Office Supplies","Houston","United States","Lynn Smith","0.2","CA-2013-152765","77036","Xerox 19","54","7","Central","173","Consumer","2013-06-19T00:00:00.000Z","First Class","Texas","Paper","3","227","Shipped Late","1","null","173.49","31.3","null","29.6984","-95.5405"
"2013-06-17T00:00:00.000Z","Office Supplies","Los Angeles","United States","Bill Donatelli","0.0","CA-2013-148593","90045","Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 600 Sets per Book","22","5","West","46","Consumer","2013-06-19T00:00:00.000Z","Second Class","California","Paper","2","61","Shipped Early","3","null","46.35","47.0","null","33.9631","-118.3941"
"2013-06-17T00:00:00.000Z","Office Supplies","Newark","United States","Jennifer Jackson","0.0","CA-2013-137127","19711","Avery 518","5","3","East","9","Consumer","2013-06-23T00:00:00.000Z","Standard Class","Delaware","Labels","6","12","Shipped On Time","6","null","9.45","48.0","null","39.7011","-75.7375"
"2013-06-17T00:00:00.000Z","Technology","Chattanooga","United States","James Lanier","0.5","CA-2013-140977","37421","Penpower WorldCard Pro Card Scanner","-2","1","South","91","Home Office","2013-06-20T00:00:00.000Z","Second Class","Tennessee","Machines","3","120","Shipped On Time","3","null","91.47","-2.0","null","35.025","-85.1459"
"2013-06-18T00:00:00.000Z","Furniture","Longmont","United States","Lena Creighton","0.2","CA-2013-107146","80501","Global Managers Adjustable Task Chair, Storm","54","4","West","483","Consumer","2013-06-20T00:00:00.000Z","First Class","Colorado","Chairs","2","633","Shipped Late","1","null","483.14","11.3","null","40.1779","-105.1009"
